Mobile;Radio Call Sign;Date;Latitude;Longitude;Heading;Speed
EL CID (ART);CB9336;14/03/2019 11:15:00;-28.084;-71.277;344;0
DON GERMAN I (ART);CB6824;14/03/2019 11:15:00;-33.023;-71.63;347;0
LONQUIMAY 2 (ART);CB4813;14/03/2019 11:15:00;-27.061;-70.827;35;0
MARIA LEONTINA (L/B);CB9520;14/03/2019 11:15:00;-29.652;-71.672;358;0.505
DON LUIS (ART);CB6500;14/03/2019 11:15:00;-23.094;-70.446;283;0
JECHITO VI (L/B);CB3884;14/03/2019 11:15:00;-33.512;-71.9;210;6.006
ROLANDO (ART);CA3502;14/03/2019 11:15:00;-39.874;-73.384;342;0
FELIPE EDUARDO (ART);CB7652;14/03/2019 11:15:00;-45.401;-72.703;33;0
MARJUXI II (L/B);CB5284;14/03/2019 11:15:00;-45.501;-75.437;102;0
AGUILA REAL (ART);CB4161;14/03/2019 11:15:00;-39.58;-73.36;197;6.006
DON ULMES (ART);CA3763;14/03/2019 11:15:00;-39.6;-73.37;202;7.503
PUNTA DE HUMO (L/B);CB2205;14/03/2019 11:15:00;-29.952;-71.335;354;0
MARINA II (ART);CB4360;14/03/2019 11:15:00;-33.584;-71.615;333;0
MILTON PATRICIO (L/B);CB6759;14/03/2019 11:15:00;-39.386;-75.016;255;0
MOISES II (ART);CB4419;14/03/2019 11:15:00;-37.601;-73.656;74;0
BELISARIO SEGUNDO (L/B);CB6528;14/03/2019 11:15:00;-39.833;-73.254;35;0
GUERRERO DE PACIFICO (ART);CA4539;14/03/2019 11:15:00;-38.966;-75.151;259;0
PALMI I (L/B);CB7795;14/03/2019 11:15:00;-41.85;-74.931;43;0
SANDY III (ART);CB9998;14/03/2019 11:15:00;-27.063;-70.826;47;0
PUNTA BRAVA (ART);CA3697;14/03/2019 11:15:00;-39.64;-73.392;200;7.503
SAMARITANO I (ART);CB9955;14/03/2019 11:15:00;-39.505;-73.331;190;6.492
SANTA XIMENA II (L/B);CB6740;14/03/2019 11:15:00;-37.599;-73.661;252;0
LUIS ALBERTO (L/B);CA4276;14/03/2019 11:15:00;-39.9;-75.659;260;0
YULIANA ANTONELLA (ART);CA6271;14/03/2019 11:15:00;-27.076;-70.848;240;0
DEMETRIO II (L/B);CB5911;14/03/2019 11:15:00;-39.131;-75.477;54;0
JOSE SEBASTIAN (ART);CB9898;14/03/2019 11:15:00;-37.112;-73.414;13;1.497
EL ROBLE (L/B);CB9176;14/03/2019 11:15:00;-39.222;-75.038;216;0
DON HECTOR I (ART);CB4815;14/03/2019 11:15:00;-39.536;-73.347;202;6.006
PLEBEYO (L/B);CB4489;14/03/2019 11:15:00;-37.601;-73.658;157;0
KIMY II (ART);CB7690;14/03/2019 11:15:00;-36.726;-73.131;272;0
EYZER (L/B);CB4942;14/03/2019 11:15:00;-41.487;-72.977;206;0
MAIMAU I  (ART);CA4388;14/03/2019 11:15:00;-28.256;-71.25;356;8.009
JOSE BASILIO (L/B);CB3181;14/03/2019 11:14:55;-37.6013;-73.6558;237;0
DON ROBERT (ART);CA2698;14/03/2019 11:14:48;-37.3817;-73.8726;26;8.495
LOBO DE AFUERA IV (ART);CA3433;14/03/2019 11:14:47;-18.4725;-70.3225;349;0
POLACO I (ART-TRP);CA5779;14/03/2019 11:14:46;-53.097;-70.873;159;0
CARACOLA (L/B);CB3641;14/03/2019 11:14:43;-39.874;-73.384;340;0
MARJUXI III (L/B);CA3844;14/03/2019 11:14:43;-46.553;-75.518;327;5.501
RUCACH I (ART-TRP);CB8233;14/03/2019 11:14:37;-53.0956;-70.8747;353;0.505
COYI I (ART);CA5350;14/03/2019 11:14:35;-18.472;-70.3215;0;0
TUAREG I (ART);CB8162;14/03/2019 11:14:34;-18.4729;-70.3232;0;0
RIO MAIPO II (ART);CB3569;14/03/2019 11:14:31;-36.7261;-73.1324;0;0
PETROHUE II (ART);CB7843;14/03/2019 11:14:24;-18.4726;-70.3208;10;0.505
DON ANSELMO II (ART);CB9589;14/03/2019 11:14:18;-37.0986;-73.1668;15;0.505
LUCIA PALMIRA (L/B);CB4039;14/03/2019 11:14:16;-41.867;-73.833;204;0
ELVA S (ART;CB3120;14/03/2019 11:14:01;-18.4719;-70.3215;21;0.505
JACKIE (L/B);CB4098;14/03/2019 11:14:00;-41.4929;-72.9851;0;0
JORGE ANDRES (ART);CA6216;14/03/2019 11:14:00;-37.026111;-73.1575;2;0
MAMA EDITH (ART);CA6783;14/03/2019 11:14:00;-37.137222;-73.358333;146;0
KAREN PAMELA (ART);CA4047;14/03/2019 11:14:00;-18.471944;-70.323611;314;0
VALENTINA (L/B);CA7237;14/03/2019 11:14:00;-18.471111;-70.323056;110;0
NIÑA XIMENA (L/B);CA6685;14/03/2019 11:14:00;-37.138889;-73.408611;79;6.201
PIA LICETTY I (ART);CA5601;14/03/2019 11:14:00;-45.466944;-72.820556;27;0
CAMPARI III (ART);CB9578;14/03/2019 11:14:00;-41.5025;-72.990833;0;0
MARCO POLO (ART);CB2247;14/03/2019 11:14:00;-36.711667;-73.113056;0;0
TOTO (ART);CA2459;14/03/2019 11:14:00;-41.764167;-73.129167;0;0
DON NENE (ART);CB5547;14/03/2019 11:13:42;-37.5998;-73.662;0;0
PETER I (ART-TRP);CB9325;14/03/2019 11:13:23;-53.0957;-70.8747;0;0
PAOLA I (ART);CA3182;14/03/2019 11:13:22;-37.097;-73.1661;4;0.097
SARITA ELVIRA (ART);CB4283;14/03/2019 11:13:19;-42.7396;-74.8217;175;5.307
DON PASCUAL (ART);CB5242;14/03/2019 11:13:17;-36.7126;-73.1118;5;0
SUSANA (ART);CB7903;14/03/2019 11:13:05;-36.7274;-73.1319;341;0
MAR PRIMERO (ART);CB8415;14/03/2019 11:13:00;-37.5992;-73.662;238;0
SANTIAGO (ART);CB8541;14/03/2019 11:12:56;-18.4712;-70.3228;10;0.505
DON PEYO I (ART-TRP);CB8940;14/03/2019 11:12:54;-51.7383;-72.5039;0;0
COYI II (ART);CA5302;14/03/2019 11:12:48;-18.472;-70.3215;15;0
GREISIS NICOL II (ART);CA2615;14/03/2019 11:12:37;-53.1069;-74.2785;123;0
XOLOT (ART);CB8110;14/03/2019 11:12:36;-28.1926;-71.2408;40;0.505
ODISEO (ART);CB8088;14/03/2019 11:12:33;-18.4717;-70.3221;349;0
PETROHUE I (ART);CB7842;14/03/2019 11:12:20;-18.4724;-70.3207;345;0
JOYA DEL PACIFICO (L/B);CB3632;14/03/2019 11:12:17;-33.036;-71.6278;0;0
CAROLINA I (L/B);CB4336;14/03/2019 11:12:14;-39.9604;-75.6493;329;0.894
ARKHOS IV (ART);CA6307;14/03/2019 11:12:12;-18.4716;-70.3224;0;0.505
KOKALECA III (ART);CA2563;14/03/2019 11:12:00;-42.338056;-73.342778;37;6.201
DON BENJA (ART);CA4314;14/03/2019 11:12:00;-39.930278;-75.585;247;2.605
DON DIONISIO II (ART);CA5286;14/03/2019 11:12:00;-37.026389;-73.159444;56;0
DON ALFONSO II (ART);CB6772;14/03/2019 11:12:00;-41.493056;-72.984722;26;0
MARICIA (ART);CB4523;14/03/2019 11:12:00;-36.640833;-73.090556;50;0
DON ARMANDO (ART);CB3212;14/03/2019 11:12:00;-36.641111;-73.091111;0;0
FRAPOLI (L/B);CB3805;14/03/2019 11:12:00;-46.2708;-75.3778;358;0
PIGARGO (ART);CB3431;14/03/2019 11:12:00;-45.416944;-72.930833;325;7.406
DON FRANCISCO I (ART);CA3074;14/03/2019 11:12:00;-42.046389;-72.614167;271;7.192
DOÑA CATALINA (ART);CB4518;14/03/2019 11:12:00;-37.028889;-73.159444;21;0
SUSANA III (ART);CA4166;14/03/2019 11:12:00;-39.499722;-75.927222;153;1.205
GUAJACHE II (ART);CA2756;14/03/2019 11:11:55;-18.4722;-70.3218;13;0
LORETO V (ART);CA5374;14/03/2019 11:11:48;-18.4709;-70.3231;0;0
DON JOSE IV (ART)_1322;CB5682;14/03/2019 11:11:44;-36.394;-72.9202;342;0.797
DON TITO R (ART);CB6575;14/03/2019 11:11:42;-39.1987;-74.9719;156;3.091
JAVIERA II (L/B);CB5947;14/03/2019 11:11:40;-44.378;-75.579;287;0
ISAURA (ART);CB5051;14/03/2019 11:11:38;-18.4727;-70.3219;0;0
KAWESCAR (ART);CB8264;14/03/2019 11:11:36;-18.4714;-70.3233;0;0
PINITA (L/B);CB5728;14/03/2019 11:11:33;-35.339;-72.399;119;0
JOSUE (ART);CB6783;14/03/2019 11:11:27;-36.726;-73.1319;0;0
DON UBALDO H.Q. (ART);CB4148;14/03/2019 11:11:22;-18.4712;-70.3225;0;0
CHANGO I (ART);CA4154;14/03/2019 11:11:04;-18.4712;-70.3226;0;0
LOBO DE AFUERA V (ART);CA4636;14/03/2019 11:11:04;-18.4724;-70.3226;358;0.505
MARIA ISABEL (ART);CB4425;14/03/2019 11:11:01;-36.7262;-73.1322;0;0
AMPARITO I (ART);CB8202;14/03/2019 11:11:00;-36.666389;-73.063889;0;0
EMELINDA (ART);CB3118;14/03/2019 11:11:00;-36.725833;-73.132222;0;0
REY DE REYES (ART);CA4170;14/03/2019 11:11:00;-37.601667;-73.6575;343;0
DON RODRIGO B (ART);CA3929;14/03/2019 11:11:00;-37.099722;-73.440556;17;1.691
LUIS DAVID II (ART);CA5440;14/03/2019 11:11:00;-38.9525;-75.473056;206;1.905
DON LINO (ART);CB2026;14/03/2019 11:11:00;-43.121944;-73.624444;0;0
SANTA MARIA A (ART);CA3051;14/03/2019 11:11:00;-41.488611;-72.971667;0;0
J J (ART);CB2506;14/03/2019 11:11:00;-18.4718;-70.3219;0;0
PELICANO (ART);CB2179;14/03/2019 11:10:58;-18.4715;-70.3228;0;0
AMADEUS (ART);CA4581;14/03/2019 11:10:55;-18.4725;-70.3232;0;0
GRINGO PABLO II (ART);CB8300;14/03/2019 11:10:55;-18.473;-70.3216;0;0
ELCIRA ROSA (L/B);CB3707;14/03/2019 11:10:51;-20.234;-70.151;221;0
XIMENA I (ART);CB8566;14/03/2019 11:10:42;-37.026;-73.156;0;0
OSFRAMA (ART);CA5559;14/03/2019 11:10:41;-39.8355;-73.2593;0;0
DON LUCHO III (ART);CA5091;14/03/2019 11:10:41;-37.0999;-73.1657;213;0.194
AMADEUS II (ART);CA5192;14/03/2019 11:10:38;-18.4726;-70.3232;0;0
MARCELO RODOLFO (ART);CB6507;14/03/2019 11:10:38;-18.471;-70.3233;0;0
COLON II (L/B);CB5357;14/03/2019 11:10:32;-18.473;-70.322;160;0
BRYAN ALEJANDRO (ART);CA6493;14/03/2019 11:10:28;-41.867;-73.8327;0;0
DIEGO ARMANDO II (L/B);CA7582;14/03/2019 11:10:28;-39.846;-75.594;304;0
PUNTA TALCA (ART);CB2177;14/03/2019 11:10:24;-29.746;-71.383;50;0.991
RICARDO JESUS (ART);CA4197;14/03/2019 11:10:20;-37.028;-73.16;0;0
STA. ISABEL III (L/B);CB8761;14/03/2019 11:10:16;-51.4963;-76.0593;25;1.497
DON FELIX III (L/B);CA5860;14/03/2019 11:10:12;-41.4974;-72.9857;309;0
ISAAC (ART);CB8039;14/03/2019 11:10:08;-36.7261;-73.1318;0;0
DON JULIO (ART);CB7737;14/03/2019 11:10:00;-39.952222;-75.561667;313;0.7
LUCAS I (ART);CB9299;14/03/2019 11:10:00;-37.026111;-73.1575;306;0
GENESIS ELENA (ART);CB7443;14/03/2019 11:10:00;-37.603611;-73.651944;217;0
DON JAIME (ART);CA2276;14/03/2019 11:10:00;-39.262222;-74.989167;158;1.302
ANTARES IV (ART);CA2738;14/03/2019 11:10:00;-41.764444;-73.128333;205;0
YUCATAN (L/B);CA3551;14/03/2019 11:10:00;-38.941111;-75.113333;33;1.594
FERNANDO ANDRES II (L/B);CB8500;14/03/2019 11:10:00;-33.5834;-71.6146;147;0
TAJAMAR V (ART-TRP);CB8962;14/03/2019 11:09:58;-55.0368;-67.0233;0;0
DON LUIS ALBERTO II (ART);CA3864;14/03/2019 11:09:55;-37.0974;-73.1645;273;0.194
ROYAL BLUE (L/B);CA6676;14/03/2019 11:09:54;-27.0638;-70.8245;299;0
DIEGO ARMANDO II (L/B);CA7582;14/03/2019 11:09:54;-39.845;-75.595;0;0
TIBURON B (ART);CB5791;14/03/2019 11:09:40;-41.7869;-73.1493;338;0.097
DON RAUL M (ART);CB6352;14/03/2019 11:09:39;-18.4724;-70.3227;0;0
SANTA MARGARITA I (L/B);CB2394;14/03/2019 11:09:35;-18.472;-70.3231;350;0.505
DON FRUCTUOSO (ART);CB7433;14/03/2019 11:09:32;-18.4728;-70.3217;0;0
RIO JORDAN X (ART);CA7673;14/03/2019 11:09:30;-37.0979;-73.1648;318;0
DONCELLA II (ART);CB9807;14/03/2019 11:09:28;-36.661;-73.026;0;0
MATIAS NICOLAS (ART);CA5093;14/03/2019 11:09:15;-36.7264;-73.1304;0;0
GALILEA I (ART);CA3627;14/03/2019 11:09:11;-37.1381;-73.3687;297;0.194
IGNACIA MONSERRAT (L/B);CA5615;14/03/2019 11:09:08;-35.3387;-72.3984;355;0.505
FEIDIPIDES (L/B);CB5726;14/03/2019 11:09:05;-39.8334;-73.2571;121;3.499
STA. ISABEL I (L/B);CB5705;14/03/2019 11:09:02;-51.3621;-75.9262;346;1.497
ORION IV (ART);CA3426;14/03/2019 11:09:00;-42.376111;-73.620278;115;0
ANA MARIA (ART);CA2598;14/03/2019 11:09:00;-37.135278;-73.370278;160;0
LIDIA C (ART);CB8129;14/03/2019 11:09:00;-39.069444;-75.152778;173;1.691
DON NORMA (ART);CB8675;14/03/2019 11:09:00;-36.666389;-73.078333;322;6.803
OCEANI III (ART);CB2594;14/03/2019 11:09:00;-41.777778;-73.131667;284;0
DON FERNANDO II (ART);CB6996;14/03/2019 11:09:00;-39.511667;-75.863333;87;1.205
DON MATEO I (ART);CA5696;14/03/2019 11:09:00;-37.601389;-73.655833;220;0
EL ACUARIO I (ART);CA3606;14/03/2019 11:09:00;-36.834167;-73.364167;251;7.795
DON WILLY (ART);CA4495;14/03/2019 11:09:00;-36.639722;-73.089167;19;0
JOSE LUIS (ART);CB4969;14/03/2019 11:09:00;-40.009167;-75.695833;263;1.108
MARBELLA II (ART);CB6318;14/03/2019 11:09:00;-36.655278;-73.050278;209;7.192
DON MANUEL R (ART);CA3586;14/03/2019 11:09:00;-36.661944;-73.052222;13;0
DOÑA GLADYS II (ART);CA3307;14/03/2019 11:09:00;-37.026667;-73.155833;16;0
PATRICIA III (ART);CB3815;14/03/2019 11:09:00;-36.538333;-72.955833;49;0
SOFIA M (L/B);CA6636;14/03/2019 11:09:00;-40.0225;-75.616667;208;0.991
ESTRELLA II (ART);CB4492;14/03/2019 11:09:00;-36.848611;-73.321944;228;4.102
TURIMAR II (ART);CB7028;14/03/2019 11:09:00;-36.641944;-73.090278;0;0
DON ISAAC (ART);CA3231;14/03/2019 11:09:00;-41.764444;-73.128056;0;0
PUERTO BRAVO (ART);CB7625;14/03/2019 11:09:00;-37.603333;-73.6525;108;0
DON EDUARDO II (ART-TRP);CB8886;14/03/2019 11:09:00;-41.7225;-73.153056;340;0
CRISTINA (ART);CB7787;14/03/2019 11:09:00;-36.654167;-73.041944;42;0
NOVIA DEL MAR IV (ART);CA5130;14/03/2019 11:09:00;-36.6625;-73.076944;311;4.704
MARISELA I (ART);CA4876;14/03/2019 11:09:00;-36.668056;-73.064444;72;0
MARINA II (ART);CB4360;14/03/2019 11:08:59;-33.585;-71.615;0;0
INGRID FERNANDA (ART);CA2921;14/03/2019 11:08:58;-37.6039;-73.6514;71;0
EL BELA (ART);CB8059;14/03/2019 11:08:58;-37.0975;-73.167;15;0
ENRIQUE I (TRP);CB5437;14/03/2019 11:08:51;-45.4672;-72.8204;347;0
HUANAY (L/B);CB6574;14/03/2019 11:08:51;-32.829;-71.87;291;0
SANTA MARIA II (L/B);CB3528;14/03/2019 11:08:44;-36.638;-73.0892;0;0
DON LUCHO (ART);CB9555;14/03/2019 11:08:41;-18.4717;-70.3231;0;0
ARKHOS I (ART);CB8235;14/03/2019 11:08:33;-18.4717;-70.3223;0;0
CHANGO (ART);CA2065;14/03/2019 11:08:31;-36.712;-73.1123;0;0
YARODAL II (TRP);CA5657;14/03/2019 11:08:21;-53.3605;-69.5394;0;0
ARKHOS II (ART);CB6995;14/03/2019 11:08:16;-18.4716;-70.3224;0;0
UZIEL II (ART);CB7875;14/03/2019 11:08:10;-36.5298;-72.9563;0;0
ORCA (ART);CB8884;14/03/2019 11:08:01;-42.3827;-73.6541;0;0
FLOPY I (ART);CA5582;14/03/2019 11:08:00;-46.721667;-75.733333;332;1.497
DON ALFONSO IV (L/B);CA6685;14/03/2019 11:08:00;-39.847222;-75.474444;282;1.808
DON MATEO (ART);CA2746;14/03/2019 11:08:00;-37.026667;-73.156944;348;0
SARITA II (ART);CB6395;14/03/2019 11:08:00;-36.797222;-73.319167;225;6.706
HALCON I (ART);CA5204;14/03/2019 11:08:00;-36.647222;-73.045556;138;2.994
ACUARIO IV (ART);CB3567;14/03/2019 11:08:00;-37.600833;-73.658611;0;0
LEONORA (L/B);CB3700;14/03/2019 11:08:00;-30.062;-71.655;270;0
DIEGO ESTEBAN (ART);CA5543;14/03/2019 11:07:58;-37.0277;-73.1599;351;0.097
VALENCIA (ART);CB2452;14/03/2019 11:07:55;-20.2048;-70.1529;10;0.505
CARLOS FABIAN III (ART);CB9406;14/03/2019 11:07:52;-41.4866;-72.9769;0;0
SAN FRANCISCO II (ART/TRP);CB9837;14/03/2019 11:07:51;-42.3823;-73.6532;0;0
SANDRITA I (ART);CB6813;14/03/2019 11:07:50;-36.7267;-73.1317;15;0
PETROHUE III (ART);CB8757;14/03/2019 11:07:46;-18.4723;-70.3211;0;0
EBENEZER II (ART);CB8449;14/03/2019 11:07:36;-39.444;-73.2806;208;6.492
REY SALOMON (ART);CB5545;14/03/2019 11:07:35;-41.7643;-73.1312;345;0
MARJUXI IV (L/B);CB8222;14/03/2019 11:07:35;-46.562;-75.514;331;5.501
TRAVESIA (L/B);CB3444;14/03/2019 11:07:29;-29.979;-71.676;347;0
ABEL (ART);CA3747;14/03/2019 11:07:27;-18.4724;-70.3235;348;0
TUAREG I (ART);CB8162;14/03/2019 11:07:27;-18.4729;-70.3232;349;0.505
COYI I (ART);CA5350;14/03/2019 11:07:26;-18.472;-70.3215;358;0.505
ISAURA I (ART);CA2650;14/03/2019 11:07:21;-18.473;-70.3216;0;0
DON CHELO II (ART);CB5596;14/03/2019 11:07:21;-36.712;-73.113;235;0
DON ANIBAL (ART);CB3976;14/03/2019 11:07:15;-42.5725;-74.3618;215;3.499
DON DEMETRIO III (ART);CB8555;14/03/2019 11:07:00;-37.098056;-73.165556;50;0
ANTARES II (ART);CB8832;14/03/2019 11:07:00;-42.920556;-73.596944;63;5.093
NELLY (ART);CB3301;14/03/2019 11:07:00;-37.026667;-73.158333;0;0
LAUCA (ART);CA3610;14/03/2019 11:07:00;-36.633889;-73.043889;59;0.603
YOLIH (ART);CB2504;14/03/2019 11:07:00;-36.669444;-73.060278;10;0
KAREN PAMELA (ART);CA4047;14/03/2019 11:07:00;-18.471667;-70.323611;139;0
DON JEAN PIERRE (ART);CB8435;14/03/2019 11:07:00;-39.165278;-75.555278;41;1.497
DON NAO (ART);CA2070;14/03/2019 11:07:00;-39.581389;-75.929167;197;1.497
CANDELARIA II (ART);CA4249;14/03/2019 11:07:00;-28.179722;-71.246389;20;0
RIO VALDIVIA (ART);CB8173;14/03/2019 11:07:00;-39.416;-73.27;301;0.505
DON JOSE MIGUEL (ART);CB3573;14/03/2019 11:07:00;-26.609;-71.003;251;4.996
MARIA PABLA (ART);CA3916;14/03/2019 11:07:00;-29.968;-71.354;350;0
DOÑA JOVA 2DA (ART);CA4240;14/03/2019 11:07:00;-37.029;-73.159;208;0
DON JOSE EDGARDO (ART);CB8209;14/03/2019 11:07:00;-28.043;-71.275;168;6.998
PUNTA PICHICUY (ART);CB5095;14/03/2019 11:07:00;-27.701;-71.218;215;4.996
EL CHILE (ART);CA3725;14/03/2019 11:07:00;-33.584;-71.615;10;0
RIO JORDAN IV (ART);CB7665;14/03/2019 11:07:00;-37.098;-73.167;318;0
JUAN MARCELO (ART);CA3544;14/03/2019 11:07:00;-37.028;-73.157;195;0
ESTRELLA III (ART);CB8576;14/03/2019 11:07:00;-28.099;-71.279;315;0.991
DON PANCRACIO (ART);CB8165;14/03/2019 11:07:00;-27.076;-70.848;311;0
PIONERO (ART);CB6548;14/03/2019 11:07:00;-27.84;-71.162;193;6.006
DON BOSCO (ART);CB6666;14/03/2019 11:07:00;-36.712;-73.113;144;0
MASTER (ART);CB6356;14/03/2019 11:07:00;-39.835;-73.258;43;0
DON VICTORINO (ART);CA3496;14/03/2019 11:07:00;-29.969;-71.354;15;0
PUNTA MAULE II (ART);CA2323;14/03/2019 11:07:00;-37.026;-73.155;0;0
DON BENITO II (ART);CB8981;14/03/2019 11:07:00;-28.137;-71.266;275;0
DON JOSE I (ART);CA3693;14/03/2019 11:07:00;-18.472;-70.324;75;0
DON JUAN (ART-TRP);CB9510;14/03/2019 11:07:00;-45.165;-73.524;309;0
DON JORGE M (ART);CB4880;14/03/2019 11:07:00;-39.813;-73.232;234;0
RICARDO JESUS (ART);CA4197;14/03/2019 11:07:00;-37.028;-73.16;34;0
RAQUEL I (ART);CB8952;14/03/2019 11:07:00;-28.147;-71.267;25;0.991
FORTUNA IV (ART);CA2841;14/03/2019 11:07:00;-28.155;-71.254;322;6.998
FORTUNA V (ART);CA3538;14/03/2019 11:07:00;-28.133;-71.283;318;0
RAUL M (ART);CA4289;14/03/2019 11:07:00;-37.028;-73.157;353;0
ANSELMO I (ART);CB8578;14/03/2019 11:07:00;-36.64;-73.017;20;0
XIMENA I (ART);CB8566;14/03/2019 11:07:00;-37.027;-73.154;0;0
KALI (ART);CB8951;14/03/2019 11:07:00;-28.108;-71.278;354;2.002
LINARES (ART);CB8063;14/03/2019 11:07:00;-39.835;-73.258;341;0
DON ATILIO (ART);CA3559;14/03/2019 11:07:00;-27.063;-70.826;342;0
DONCELLA II (ART);CB9807;14/03/2019 11:07:00;-36.659;-73.056;25;6.006
DOÑA CARMELA (ART);CB8749;14/03/2019 11:07:00;-39.835;-73.258;358;0
TOME (ART);CB2711;14/03/2019 11:07:00;-36.62;-72.96;177;0
FORTUNA III (ART);CB8070;14/03/2019 11:07:00;-27.063;-70.826;32;0
ISLA LLAHUEN (ART);CA3250;14/03/2019 11:07:00;-42.641;-72.923;275;6.998
MISIONERA II (ART) 153076;CB5982;14/03/2019 11:07:00;-36.669;-73.062;282;0
DON JOAQUIN  (ART);CB5153;14/03/2019 11:07:00;-39.493;-73.325;202;6.998
NOEMI SIMONEY (ART);CB8653;14/03/2019 11:07:00;-39.835;-73.259;144;0
GAROTA II (ART);CA3942;14/03/2019 11:07:00;-29.969;-71.355;99;0
ISAAC II (ART);CA4843;14/03/2019 11:07:00;-39.494;-73.315;194;6.006
GAROTA V (ART??);CA6799;14/03/2019 11:07:00;-29.968;-71.355;5;0
ORKA (ART);CB8648;14/03/2019 11:07:00;-39.497;-73.318;201;6.492
GAROTA (ART);CB8360;14/03/2019 11:07:00;-29.969;-71.354;276;0
GAROTA IV (ART);CA5832;14/03/2019 11:07:00;-29.969;-71.354;44;0
SOFIA MAGDALENA (ART);CA2112;14/03/2019 11:07:00;-27.063;-70.825;68;0
DELFIN 2000 (ART);CB6837;14/03/2019 11:07:00;-29.967;-71.36;252;0
GAROTA III (ART);CA4493;14/03/2019 11:07:00;-29.969;-71.355;236;0
DON CHOLITO (ART);CB6701;14/03/2019 11:07:00;-39.834;-73.257;173;0
SOFIA-A (ART);CA4323;14/03/2019 11:07:00;-39.836;-73.259;197;0
CHUBASCO I (ART);CB4352;14/03/2019 11:07:00;-27.076;-70.848;197;0
MARIA SOLEDAD II (ART);CB9670;14/03/2019 11:07:00;-29.968;-71.354;171;0
GUILLERMO I (ART);CB8894;14/03/2019 11:07:00;-27.071;-70.897;48;6.492
CONSTITUCION (ART);CB8064;14/03/2019 11:07:00;-39.577;-73.366;198;6.006
AGUILA REAL II (ART);CB4720;14/03/2019 11:07:00;-36.537;-72.955;25;0
EL CHONO (ART);CB8218;14/03/2019 11:07:00;-45.631;-73.288;339;0
DON LUIS ALBERTO (ART);CB8058;14/03/2019 11:07:00;-36.71;-73.112;282;0
TRINIDAD (ART);CB8949;14/03/2019 11:07:00;-28.107;-71.281;201;3.499
CLAUDIO I (ART);CB6658;14/03/2019 11:07:00;-39.661;-73.407;180;8.009
DOÑA BERNARDA (L/B);CA5416;14/03/2019 11:07:00;-29.952;-71.332;188;0
ALBERTO M (ART);CA6190;14/03/2019 11:07:00;-39.873;-73.383;306;0
EL CID (ART);CB9336;14/03/2019 11:07:00;-28.086;-71.277;24;0
LONQUIMAY 2 (ART);CB4813;14/03/2019 11:07:00;-27.061;-70.827;35;0
DON LUIS (ART);CB6500;14/03/2019 11:07:00;-23.094;-70.446;283;0
JECHITO VI (L/B);CB3884;14/03/2019 11:07:00;-33.507;-71.891;282;6.006
ROLANDO (ART);CA3502;14/03/2019 11:07:00;-39.874;-73.384;342;0
FELIPE EDUARDO (ART);CB7652;14/03/2019 11:07:00;-45.401;-72.703;33;0
AGUILA REAL (ART);CB4161;14/03/2019 11:07:00;-39.568;-73.356;198;6.006
DON ULMES (ART);CA3763;14/03/2019 11:07:00;-39.586;-73.365;205;6.492
MARINA II (ART);CB4360;14/03/2019 11:07:00;-33.584;-71.615;333;0
PALMI I (L/B);CB7795;14/03/2019 11:07:00;-41.851;-74.932;190;0.991
PUNTA BRAVA (ART);CA3697;14/03/2019 11:07:00;-39.624;-73.386;185;8.009
SAMARITANO I (ART);CB9955;14/03/2019 11:07:00;-39.489;-73.323;202;6.492
KIMY II (ART);CB7690;14/03/2019 11:07:00;-36.726;-73.131;272;0
MAIMAU I  (ART);CA4388;14/03/2019 11:07:00;-28.274;-71.249;350;8.495
YULIANA ANTONELLA (ART);CA6271;14/03/2019 11:07:00;-27.076;-70.848;343;0
JOSE SEBASTIAN (ART);CB9898;14/03/2019 11:07:00;-37.113;-73.414;305;0.505
DON HECTOR I (ART);CB4815;14/03/2019 11:07:00;-39.523;-73.34;207;6.006
PUNTA DE HUMO (L/B);CB2205;14/03/2019 11:07:00;-29.952;-71.335;354;0
DON TOMAS (L/B);CB9682;14/03/2019 11:06:57;-41.777;-73.13;353;0
DOÑA MERCEDES (ART);CB4519;14/03/2019 11:06:51;-23.0924;-70.4465;70;0.097
DON ANSELMO II (ART);CB9589;14/03/2019 11:06:48;-37.0985;-73.1668;357;0.505
MARGOT MARIA (ART-TRP);CB5280;14/03/2019 11:06:45;-53.2089;-70.9388;0;0
MAR DE ROSS (ART);CB8583;14/03/2019 11:06:35;-41.4866;-72.9755;0;0
CECILIA III (ART);CB5169;14/03/2019 11:06:31;-36.7264;-73.1314;350;0
DON ROBERT (ART);CA2698;14/03/2019 11:06:29;-37.3957;-73.8852;31;8.009
ELVA S (ART;CB3120;14/03/2019 11:06:18;-18.4719;-70.3215;0;0
DON NENE (ART);CB5547;14/03/2019 11:06:15;-37.5998;-73.662;3;0.505
LOBA DE MAR (ART);CB5291;14/03/2019 11:06:13;-37.6031;-73.6531;244;0
MARIA CECILIA I (L/B);CA4895;14/03/2019 11:06:07;-22.0913;-70.2043;343;0.505
DON SEBASTIAN (L/B);CA4530;14/03/2019 11:06:04;-39.3976;-73.2149;0;0
NIÑA XIMENA (L/B);CA6685;14/03/2019 11:06:00;-37.132222;-73.422778;99;5.501
MAMA EDITH (ART);CA6783;14/03/2019 11:06:00;-37.137222;-73.358333;248;0
VALENTINA (L/B);CA7237;14/03/2019 11:06:00;-18.471111;-70.323056;242;0
